TwitterHandle,Date,TweetsAgo,Compound,Positive,Negative,Neutral,Tweet
BBC,2018-10-11 13:05:06+00:00,32,0.0,0.0,1.0,0.0,"🎶🙌 Imagine: the making of an iconic song. 
👉 https://t.co/eLGnAJl0Zn https://t.co/fPiJbRHW4P"
BBC,2018-10-11 12:04:06+00:00,33,-0.5848,0.0,0.678,0.322,"🥑😲 Bad news, millennials... avocados AREN'T vegan!  
#QI https://t.co/Ne4D8MGcYi"
BBC,2018-10-11 11:28:03+00:00,34,0.6946,0.258,0.659,0.082,"🏳️‍🌈 ""It's probably made life difficult but quite wonderful at the same time."" 
#NationalComingOutDay https://t.co/Fuf4ijiu4e"
BBC,2018-10-11 11:02:05+00:00,35,-0.4019,0.0,0.881,0.119,"Did you know that every time you do your washing you could be contributing to the world's plastic problem?
👉… https://t.co/KSZrbXWOdN"
BBC,2018-10-11 09:58:57+00:00,36,0.4404,0.225,0.775,0.0,RT @BBC6Music: Some good guesses. Answers in this #NationalAlbumDay thread. https://t.co/L88AxRMe7O
BBC,2018-10-11 08:04:04+00:00,37,0.3182,0.173,0.827,0.0,🐄🏍 This man rescues cows on the back of his motorbike. https://t.co/rjEigSlAN0
BBC,2018-10-11 07:04:03+00:00,38,0.0,0.0,1.0,0.0,"What if we only worked four days a week?

Thursday could actually become the new Friday... #ThursdayFeeling
👉… https://t.co/ZoKmWuf1DT"
BBC,2018-10-11 06:13:05+00:00,39,0.0,0.0,1.0,0.0,👕💦 Do you know how much water goes into making our clothes? https://t.co/9rv44dk0XB
BBC,2018-10-10 18:00:02+00:00,40,0.8176,0.347,0.653,0.0,"🎶🎸Liverpool’s musicians have produced 56 UK number one hits. 

Are the Fab Four the city’s greatest export?

Armcha… https://t.co/iokMQntgBo"
BBC,2018-10-10 17:07:00+00:00,41,0.0,0.0,1.0,0.0,"The crew returns to the Cotswolds to investigate what's happened to the Mucklowe family.

#ThisCountry | watch on… https://t.co/wEa3dmJ4Y3"
BBC,2018-10-10 15:56:06+00:00,42,0.0,0.0,1.0,0.0,🌭🐶 Look at those little legs go!! https://t.co/ZD6sSf7Z1e
BBC,2018-10-10 15:00:00+00:00,43,0.5563,0.204,0.796,0.0,"🏖Can the Galapagos Islands become completely free of plastic pollution? 

The Galapagos Conservation Trust,… https://t.co/zoSEa4yqB6"
BBC,2018-10-10 14:55:30+00:00,44,-0.8126,0.0,0.709,0.291,"""The worst thing people say is, what have you got to be depressed about?""

@nikkilillyy meets @SusanCalman and disc… https://t.co/S1mkZYnRte"
BBC,2018-10-10 13:04:03+00:00,45,-0.5994,0.0,0.822,0.178,"A rare white tiger has mauled a zookeeper to death in its enclosure at a zoo in Japan, officials say.
👉… https://t.co/CsW7Cl7mow"
BBC,2018-10-10 12:01:03+00:00,46,-0.3182,0.0,0.881,0.119,George Shelley talks about how colour therapy has helped him deal with the loss of his sister. https://t.co/2xVAECXZlW
BBC,2018-10-10 11:41:17+00:00,47,0.1877,0.08,0.92,0.0,RT @bbcstories: You're not alone. These films are packed full of personal stories and professional advice about managing your mental health…
BBC,2018-10-10 11:05:06+00:00,48,0.0,0.0,1.0,0.0,"About 40% of young adults cannot afford to buy one of the cheapest homes in their area even with a 10% deposit, acc… https://t.co/CdZLYEAjpX"
BBC,2018-10-10 10:23:03+00:00,49,0.0,0.0,1.0,0.0,"RT @BBCWales: Meet Terry Cripps, AKA B-Daddy. The Welsh breakdancing teacher redefining our expectations of dad dancing, one windmill at a…"
BBC,2018-10-10 09:52:58+00:00,50,0.0,0.0,1.0,0.0,🎤❤️ The waiting was finally over for thousands of @BTS_twt fans last night as the band performed in the UK for the… https://t.co/RKxZ6bG8rg
BBC,2018-10-10 09:17:00+00:00,51,0.0,0.0,1.0,0.0,RT @bbcthree: They're back: https://t.co/zCoNfLQP9W #ThisCountry https://t.co/puet3DELa2
BBC,2018-10-10 09:09:01+00:00,52,0.0,0.0,1.0,0.0,"RT @bbcpress: 🐲 @LennyHenry will narrate #Zog on @BBCOne this Christmas, with a cast including Tracey Ullman as Madame Dragon, @RealHughSki…"
BBC,2018-10-10 09:06:26+00:00,53,-0.5859,0.07,0.696,0.235,"Poppy has depression, anxiety, and PTSD. She explains how challenging herself to run the London Marathon has helped… https://t.co/C1UdMIcUBu"
BBC,2018-10-10 08:01:02+00:00,54,0.0,0.0,1.0,0.0,"🥊 In kangaroo boxing, anything goes! https://t.co/fxKOrPMA1z"
BBC,2018-10-10 07:05:03+00:00,55,-0.128,0.073,0.829,0.098,"The reality of feeling alone is not what many people think. 

Five counterintuitive findings from the BBC Lonelines… https://t.co/PxG9xcuVHr"
BBC,2018-10-10 06:13:01+00:00,56,0.9032,0.527,0.473,0.0,Who wants to be new best friends with Annie?!? 🙋‍♀️ https://t.co/1dIroAAM4B
BBC,2018-10-09 18:10:05+00:00,57,0.0,0.0,1.0,0.0,"🎟🚀 If you had 10 tickets to the Moon, who would you take?  https://t.co/VJ0ZJbEqU9"
BBC,2018-10-09 17:05:04+00:00,58,0.0,0.0,1.0,0.0,"🧚📸 Two of the famous faked Cottingley Fairies photographs have sold for more than £20,000 at auction.
👉… https://t.co/1xphQL3F53"
BBC,2018-10-09 15:09:28+00:00,59,0.7003,0.234,0.766,0.0,"RT @BBCOne: 5 reasons to be excited about #TheLittleDrummerGirl:

1. From the producers of The Night Manager
2. From visionary film directo…"
